"","colony_id","species","group","genotype","treatment","full_treatment","recovered","airbrush_volume","surface_area","A","CA","di","Cdi","D2","Dsmall","chla.ug.cm2","chlc2.ug.cm2","chla.sym","sym.cm2","prot_mg.cm2","Host_AFDW_mg.cm2","Sym_AFDW_mg.cm2","CM2.year"
"1","OFAV_PP_0GT1","OFAV","OFAV_P","0GT1","PP","OFAV_PP","p",30,6.417827298,0.1692,0.0604,0.4676,0.2432,2.64887152779847,0.467447916670319,6.85356553824799,1.69858886720077,3.88388521066044e-06,1764615.885,0.833497317,4.79134114587077,4.67447916670319,NA
"2","OFAV_PP_0HS3","OFAV","OFAV_P","0HS3","PP","OFAV_PP","p",20,5.880222841,0.121,0.0578,0.3938,0.2526,2.72098531512099,0,6.71624206562957,1.52494220754312,4.70154762049087e-06,1428517.29,1.343319267,4.59166271926666,NA,-4.1261
"3","OFAV_PP_0HS3","OFAV","OFAV_P","0HS3","PP","OFAV_PP","p",20,5.880222841,0.121,0.0578,0.3938,0.2526,2.72098531512099,0,6.71624206562957,1.52494220754312,4.70154762049087e-06,1428517.29,1.343319267,4.59166271926666,NA,1.1585
"4","OFAV_PP_0HS3","OFAV","OFAV_P","0HS3","PP","OFAV_PP","p",20,5.880222841,0.121,0.0578,0.3938,0.2526,2.72098531512099,0,6.71624206562957,1.52494220754312,4.70154762049087e-06,1428517.29,1.343319267,4.59166271926666,NA,2.0154
"5","OFAV_PP_0HS3","OFAV","OFAV_P","0HS3","PP","OFAV_PP","p",20,5.880222841,0.121,0.0578,0.3938,0.2526,2.72098531512099,0,6.71624206562957,1.52494220754312,4.70154762049087e-06,1428517.29,1.343319267,4.59166271926666,NA,3.523
"6","OFAV_PP_0HS3","OFAV","OFAV_P","0HS3","PP","OFAV_PP","p",20,5.880222841,0.121,0.0578,0.3938,0.2526,2.72098531512099,0,6.71624206562957,1.52494220754312,4.70154762049087e-06,1428517.29,1.343319267,4.59166271926666,NA,4.5546
"7","OFAV_PP_0HS3","OFAV","OFAV_P","0HS3","PP","OFAV_PP","p",20,5.880222841,0.121,0.0578,0.3938,0.2526,2.72098531512099,0,6.71624206562957,1.52494220754312,4.70154762049087e-06,1428517.29,1.343319267,4.59166271926666,NA,6.0304
"8","OFAV_PP_0HS3","OFAV","OFAV_P","0HS3","PP","OFAV_PP","p",20,5.880222841,0.121,0.0578,0.3938,0.2526,2.72098531512099,0,6.71624206562957,1.52494220754312,4.70154762049087e-06,1428517.29,1.343319267,4.59166271926666,NA,6.9985
"9","OFAV_PP_0HS4","OFAV","OFAV_P","0HS4","PP","OFAV_PP","p",NA,4.228412256,0.1112,0.0376,0.3851,0.2144,3.54743083026387,0,NA,NA,NA,NA,NA,NA,NA,-3.6341
"10","OFAV_PP_0HS4","OFAV","OFAV_P","0HS4","PP","OFAV_PP","p",NA,4.228412256,0.1112,0.0376,0.3851,0.2144,3.54743083026387,0,NA,NA,NA,NA,NA,NA,NA,-1.8567
