,colony_id,full_treatment,treatment,species,group,final,cage,genotype,2021.03.09,2021.03.18,2021.05.03,2023.05.13,2021.06.01,2021.06.22,2021.06.29,2021.07.15,date.planted,date.dead,days.alive,final.status
912,OFAV-3-PP-9GT35,OFAV_PP,PP,OFAV,OFAV_P,deep,3-PP,9GT35,NA,NA,NA,NA,NA,alive,alive,dead,NA,2021.07.15,,1
892,OFAV-3-PP-365,OFAV_PP,PP,OFAV,OFAV_P,deep,3-PP,365,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
944,OFAV-4-PP-2HS48,OFAV_PP,PP,OFAV,OFAV_P,deep,4-PP,2HS48,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
979,OFAV-5-PP-370,OFAV_PP,PP,OFAV,OFAV_P,deep,5-PP,370,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
990,OFAV-5-PP-9EV35,OFAV_PP,PP,OFAV,OFAV_P,deep,5-PP,9EV35,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
991,OFAV-5-PP-9EV4,OFAV_PP,PP,OFAV,OFAV_P,deep,5-PP,9EV4,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1000,OFAV-5-PP-9JQ431,OFAV_PP,PP,OFAV,OFAV_P,deep,5-PP,9JQ431,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1020,OFAV-6-PP-370,OFAV_PP,PP,OFAV,OFAV_P,deep,6-PP,370,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1044,OFAV-6-PP-CX,OFAV_PP,PP,OFAV,OFAV_P,deep,6-PP,CX,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1045,OFAV-6-PP-DW,OFAV_PP,PP,OFAV,OFAV_P,deep,6-PP,DW,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1061,OFAV-7-PP-370,OFAV_PP,PP,OFAV,OFAV_P,deep,7-PP,370,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1067,OFAV-7-PP-2HS48,OFAV_PP,PP,OFAV,OFAV_P,deep,7-PP,2HS48,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1102,OFAV-8-PP-370,OFAV_PP,PP,OFAV,OFAV_P,deep,8-PP,370,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1132,OFAV-9-PP-356,OFAV_PP,PP,OFAV,OFAV_P,deep,9-PP,356,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1133,OFAV-9-PP-357,OFAV_PP,PP,OFAV,OFAV_P,deep,9-PP,357,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1138,OFAV-9-PP-365,OFAV_PP,PP,OFAV,OFAV_P,deep,9-PP,365,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1143,OFAV-9-PP-370,OFAV_PP,PP,OFAV,OFAV_P,deep,9-PP,370,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1144,OFAV-9-PP-371,OFAV_PP,PP,OFAV,OFAV_P,deep,9-PP,371,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1145,OFAV-9-PP-0HS3,OFAV_PP,PP,OFAV,OFAV_P,deep,9-PP,0HS3,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1149,OFAV-9-PP-2HS48,OFAV_PP,PP,OFAV,OFAV_P,deep,9-PP,2HS48,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1151,OFAV-9-PP-9AZ2,OFAV_PP,PP,OFAV,OFAV_P,deep,9-PP,9AZ2,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1153,OFAV-9-PP-9AZ9,OFAV_PP,PP,OFAV,OFAV_P,deep,9-PP,9AZ9,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1156,OFAV-9-PP-9EV40,OFAV_PP,PP,OFAV,OFAV_P,deep,9-PP,9EV40,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1164,OFAV-9-PP-9JQ431,OFAV_PP,PP,OFAV,OFAV_P,deep,9-PP,9JQ431,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1190,OFAV-10-PP-2HS48,OFAV_PP,PP,OFAV,OFAV_P,deep,10-PP,2HS48,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
1198,OFAV-10-PP-9EV5,OFAV_PP,PP,OFAV,OFAV_P,deep,10-PP,9EV5,NA,NA,NA,NA,NA,dead,dead,dead,NA,2021.06.22,,1
848,OFAV-2-PP-359,OFAV_PP,PP,OFAV,OFAV_P,deep,2-PP,359,NA,NA,NA,NA,NA,alive,missing,missing,2021.06.22,NA,,NA
856,OFAV-2-PP-370,OFAV_PP,PP,OFAV,OFAV_P,deep,2-PP,370,NA,NA,NA,NA,NA,alive,missing,missing,2021.06.22,NA,,NA
858,OFAV-2-PP-0HS3,OFAV_PP,PP,OFAV,OFAV_P,deep,2-PP,0HS3,NA,NA,NA,NA,NA,alive,missing,missing,2021.06.22,NA,,NA
862,OFAV-2-PP-2HS48,OFAV_PP,PP,OFAV,OFAV_P,deep,2-PP,2HS48,NA,NA,NA,NA,NA,alive,missing,missing,2021.06.22,NA,,NA
864,OFAV-2-PP-9AZ2,OFAV_PP,PP,OFAV,OFAV_P,deep,2-PP,9AZ2,NA,NA,NA,NA,NA,alive,missing,missing,2021.06.22,NA,,NA
