species,final,Cage,group,full_treatment,colony_id,deltF.Fm,Fv.Fm,Qm
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,1,0.375,0.648,0.421296296
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,2,0.45,0.649,0.306625578
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,3,0.43,0.664,0.352409639
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,4,0.36,0.706,0.490084986
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,5,0.507,0.668,0.241017964
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,6,0.442,0.66,0.33030303
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,7,0.4,0.649,0.38366718
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,8,0.44,0.671,0.344262295
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,9,0.472,0.653,0.277182236
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,10,0.434,0.683,0.364568082
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,11,0.404,0.633,0.361769352
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,12,0.482,0.646,0.253869969
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,13,0.418,0.665,0.371428571
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,14,0.423,0.663,0.36199095
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,15,0.504,0.659,0.235204856
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,16,0.451,0.639,0.294209703
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,17,0.338,0.629,0.46263911
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,18,0.401,0.663,0.395173454
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,19,0.409,0.675,0.394074074
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,20,0.531,0.664,0.200301205
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,21,0.388,0.682,0.431085044
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,22,0.475,0.657,0.277016743
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,23,0.424,0.673,0.369985141
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,24,0.423,0.657,0.356164384
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,25,0.472,0.637,0.259026688
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,26,0.478,0.675,0.291851852
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,27,0.502,0.635,0.209448819
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,28,0.44,0.666,0.339339339
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,29,0.466,0.642,0.274143302
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,30,0.565,0.659,0.142640364
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,31,0.45,0.646,0.303405573
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,32,0.49,0.65,0.246153846
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,33,0.464,0.661,0.298033283
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,34,0.435,0.684,0.364035088
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,35,0.54,0.692,0.219653179
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,36,0.51,0.658,0.224924012
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,37,0.423,0.672,0.370535714
OFAV,shallow,1 SS,OFAV_S,OFAV_SS,38,0.516,0.674,0.234421365
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,1,0.355,0.612,0.419934641
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,2,0.468,0.614,0.237785016
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,3,0.416,0.652,0.36196319
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,4,0.384,0.61,0.370491803
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,5,0.439,0.628,0.300955414
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,6,0.394,0.646,0.390092879
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,7,0.416,0.629,0.33863275
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,8,0.368,0.612,0.39869281
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,9,0.402,0.599,0.328881469
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,10,0.308,0.519,0.40655106
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,11,0.468,0.595,0.213445378
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,12,0.365,0.603,0.394693201
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,13,0.325,0.567,0.42680776
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,14,0.34,0.582,0.41580756
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,15,0.349,0.563,0.380106572
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,16,0.401,0.613,0.345840131
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,17,0.276,0.5,0.448
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,18,0.324,0.567,0.428571429
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,19,0.425,0.642,0.338006231
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,20,0.307,0.602,0.490033223
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,21,0.364,0.594,0.387205387
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,22,0.388,0.548,0.291970803
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,23,0.218,0.538,0.594795539
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,24,0.37,0.588,0.370748299
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,25,0.382,0.618,0.381877023
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,26,0.416,0.652,0.36196319
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,27,0.349,0.576,0.394097222
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,28,0.404,0.619,0.34733441
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,29,0.366,0.588,0.37755102
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,30,0.371,0.613,0.394779772
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,31,0.486,0.672,0.276785714
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,32,0.373,0.594,0.372053872
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,33,0.368,0.608,0.394736842
OFAV,shallow,10 PS,OFAV_P,OFAV_PS,34,0.301,0.581,0.481927711
