datetime,DO_mg.L,Temp_C,depth
7/19/21 15:00,7.77,28.96,shallow
7/19/21 15:00,7.74,28.96,shallow
7/19/21 15:00,7.75,28.96,shallow
7/19/21 15:00,7.72,28.96,shallow
7/19/21 15:00,7.7,28.96,shallow
7/19/21 15:00,7.69,28.96,shallow
7/19/21 15:00,7.69,28.96,shallow
7/19/21 15:00,7.68,28.96,shallow
7/19/21 15:00,7.7,28.96,shallow
7/19/21 16:00,7.68,28.96,shallow
7/19/21 16:00,7.68,28.96,shallow
7/19/21 16:00,7.69,28.96,shallow
7/19/21 16:00,7.66,28.96,shallow
7/19/21 16:00,7.66,28.94,shallow
7/19/21 16:00,7.63,28.94,shallow
7/19/21 16:00,7.64,28.94,shallow
7/19/21 16:00,7.65,28.94,shallow
7/19/21 16:00,7.61,28.92,shallow
7/19/21 16:00,7.62,28.92,shallow
7/19/21 16:00,7.6,28.92,shallow
7/19/21 16:00,7.61,28.92,shallow
7/19/21 17:00,7.6,28.92,shallow
7/19/21 17:00,7.59,28.92,shallow
7/19/21 17:00,7.58,28.9,shallow
7/19/21 17:00,7.56,28.9,shallow
7/19/21 17:00,7.56,28.9,shallow
7/19/21 17:00,7.55,28.9,shallow
7/19/21 17:00,7.55,28.88,shallow
7/19/21 17:00,7.54,28.88,shallow
7/19/21 17:00,7.52,28.88,shallow
7/19/21 17:00,7.5,28.88,shallow
7/19/21 17:00,7.5,28.88,shallow
7/19/21 17:00,7.48,28.88,shallow
7/19/21 18:00,7.48,28.86,shallow
7/19/21 18:00,7.45,28.86,shallow
7/19/21 18:00,7.44,28.88,shallow
7/19/21 18:00,7.45,28.86,shallow
7/19/21 18:00,7.43,28.86,shallow
7/19/21 18:00,7.41,28.86,shallow
7/19/21 18:00,7.39,28.86,shallow
7/19/21 18:00,7.39,28.86,shallow
7/19/21 18:00,7.4,28.86,shallow
7/19/21 18:00,7.32,28.86,shallow
7/19/21 18:00,7.33,28.86,shallow
7/19/21 18:00,7.33,28.86,shallow
7/19/21 19:00,7.3,28.86,shallow
7/19/21 19:00,7.33,28.86,shallow
7/19/21 19:00,7.31,28.86,shallow
7/19/21 19:00,7.29,28.86,shallow
7/19/21 19:00,7.31,28.86,shallow
7/19/21 19:00,7.27,28.86,shallow
7/19/21 19:00,7.23,28.86,shallow
7/19/21 19:00,7.25,28.84,shallow
7/19/21 19:00,7.28,28.84,shallow
7/19/21 19:00,7.21,28.84,shallow
7/19/21 19:00,7.26,28.84,shallow
7/19/21 19:00,7.28,28.84,shallow
7/19/21 20:00,7.26,28.82,shallow
7/19/21 20:00,7.28,28.82,shallow
7/19/21 20:00,7.28,28.82,shallow
7/19/21 20:00,7.28,28.82,shallow
7/19/21 20:00,7.27,28.82,shallow
